id;start_date;end_date;language
1;2020-09-10T05:55:14;2020-09-10T03:45:29;SPANISH
2;2020-09-09T10:45:25;2020-09-10T05:49:50;SPANISH
3;2020-09-10T01:40:44;2020-09-09T12:14:53;FRENCH
4;2020-09-09T16:58:15;2020-09-10T04:29:41;FRENCH
5;2020-09-10T02:28:33;2020-09-10T07:15:32;FRENCH
6;2020-09-09T20:20:54;2020-09-10T08:29:08;FRENCH
7;2020-09-09T22:06:14;2020-09-09T15:57:05;FRENCH
8;2020-09-09T21:02:27;2020-09-10T07:18:35;SPANISH
9;2020-09-09T19:43:36;2020-09-09T16:24:59;SPANISH
10;2020-09-10T03:55:40;2020-09-09T14:30:10;SPANISH
